id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
727847,Palmer Treehouse - Bedroom 2,62150,Anne,,Logan Square,41.92278,-87.70422,Private room,70,2,74,2021-10-24,0.67,3,363,1,City registration pending
731232,Logan Square-Chicago Prime Location-Longer Stays,3804977,Paul And Nancy,,Logan Square,41.92595,-87.69762,Entire home/apt,158,2,136,2021-06-01,1.22,1,325,2,City registration pending
739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,,Lincoln Square,41.9765,-87.68144,Entire home/apt,132,7,192,2021-11-26,1.88,1,211,6,R17000020094
753809,LUXURY LOOP w/Balcony GYM & SPA by Millennium Park,3965428,Rob,,Loop,41.88604,-87.61568,Entire home/apt,130,31,13,2015-08-15,0.12,88,365,0,City registration pending
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,,Logan Square,41.93115,-87.71836,Entire home/apt,94,32,24,2021-10-31,0.23,4,344,4,City registration pending
773127,Comfy Room & Bike in Roscoe Village,4009750,Matt,,North Center,41.94802,-87.68335,Private room,78,2,128,2017-06-04,1.16,2,0,0,City registration pending
790934,04. Pullout sofa bed in common room,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,83,1,139,2020-02-03,1.26,17,180,0,R17000015667
802613,"Your Own Home, 2-Bath with Laundry and Parking!",1500490,Hailey,,Logan Square,41.92107,-87.68279,Entire home/apt,204,1,58,2021-11-24,0.53,2,352,2,City registration pending
841024,Lux 2bd 2bt Lakeview-Wrigleyville,1254363,Mark,,Lake View,41.94382,-87.64656,Entire home/apt,239,32,15,2017-03-19,0.14,3,354,0,
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla Yatkin And Enki,,Lincoln Park,41.92218,-87.66079,Private room,85,2,103,2021-11-16,1.01,1,257,5,R21000072699
887038,MCM Prime LincolnPark 2 Bed 1 Block to Fullerton L,101521,Red,,Lincoln Park,41.92546,-87.6573,Entire home/apt,95,32,38,2021-09-26,0.36,4,334,2,City registration pending
887357,"Prime Lincoln Park 2/2 - 2 Decks, Garage, Dogs OK",101521,Red,,Lincoln Park,41.93153,-87.65797,Entire home/apt,184,32,0,,,4,43,0,
